db_id,id_within_district,HSD,Name,Level,Authority,Ownership,NHPI Code,HSDT Code
1116,59,Isingiro North (Nyamuyanja) HSD,Nyarubungo Health Centre III,HC III,MOH,Govt,HFZVRERP3,SCBOQ4I67/PA5HJHWW7/8001
1117,60,Bukanga (Rugaaga) HSD,Rubondo Health Centre II,HC II,MOH,Govt,HF7MJF463,SC9Y7YTB9/PAQ3OQS57/8001
1118,61,Isingiro South (Kabuyanda) HSD,Ruborogota Health Centre III,HC III,MOH,Govt,HF9IJ7RK0,SCHDT5SW3/PAWG7GBR4/8001
1119,62,Bukanga (Rugaaga) HSD,Rugaaga Health Care Health Centre II,HC II,Private,PFP,HFCXA5SA8,SC57Y6OA8/PAJONZKP0/8002
1120,63,Bukanga (Rugaaga) HSD,Rugaaga Health Centre IV,HC IV,MOH,Govt,HFND24H30,SC57Y6OA8/PAJONZKP0/8001
1121,64,Isingiro South (Kabuyanda) HSD,Ruhiira Health Centre III,HC III,MOH,Govt,HFR6HOC36,SCAXBTE59/PAVFTCAT8/8001
1122,65,Bukanga (Rugaaga) HSD,Rulongo Health Centre II,HC II,NGO,PNFP,HF3IMZGB9,SCTV5P8S1/PAYQELTC0/8001
1123,66,Bukanga (Rugaaga) HSD,Rushasha Health Centre III,HC III,MOH,Govt,HF8KXP3U1,SC9Y7YTB9/PAVLWF730/8001
1124,67,Isingiro South (Kabuyanda) HSD,Ruyanga  Health Centre II,HC II,MOH,Govt,HFADBNIN5,SCV6RZ9W2/PAF9L7VV5/8001
1125,68,Isingiro South (Kabuyanda) HSD,Rwakakwenda Health Centre II,HC II,MOH,Govt,HFRBFB8I5,SCLRU8CV1/PAH7XZMR5/8001
1126,69,Isingiro South (Kabuyanda) HSD,Rwamwijuka Health Centre II,HC II,MOH,Govt,HFBSZXI31,SCV6RZ9W2/PAHAWW8Z4/8001
1127,70,Bukanga (Rugaaga) HSD,Rwanjogyera Health Centre II,HC II,MOH,Govt,HFSSE28R3,SC4JNIJS4/PADISE6F0/8001
1128,71,Bukanga (Rugaaga) HSD,Rwantaaha Health Centre II,HC II,MOH,Govt,HF9KNU7A9,SC9Y7YTB9/PAXF2CBX8/8001
1129,72,Isingiro North (Nyamuyanja) HSD,Rwekubo Health Centre IV,HC IV,MOH,Govt,HFV936YF2,SCW9HQQO0/PAOFAG2M9/8001
1130,73,Isingiro North (Nyamuyanja) HSD,Rwetango Health Centre II,HC II,MOH,Govt,HF8S2S7T3,SCBOQ4I67/PAJRGHUH2/8001
1131,74,Bukanga (Rugaaga) HSD,Samaritan Medical Clinic Health Centre,HC II,Private,PFP,HFBR8JYY4,SCZZLLI70/PAD4PHVQ2/8001
,,,II,,,,,
1132,75,Bukanga (Rugaaga) HSD,St. Augustine Medical Centre Health,HC II,Private,PFP,HFDR6AI98,SC4JNIJS4/PABAIZJI8/8001
,,,Centre II,,,,,
1133,76,Isingiro South (Kabuyanda) HSD,St. Luke Kisyoro Health Centre II,HC II,UPMB,PNFP,HFOAXT692,SC8TPUJL5/PALFVZC85/8001
1134,77,Isingiro South (Kabuyanda) HSD,St. Peters Kanywamaizi Health Centre II,HC II,UPMB,PNFP,HFJQJ43B5,SCLRU8CV1/PAY54AV66/8001
1135,78,Isingiro South (Kabuyanda) HSD,St. Thereza Health Centre II,HC II,Private,PFP,HFKCNA6L5,SCV6RZ9W2/PATZNNKK1/8001
1136,79,Bukanga (Rugaaga) HSD,Zam Zam Health Centre Health Centre,HC II,Private,PFP,HFZKKDNM7,SCTV5P8S1/PAKWMW774/8001
,,,II,,,,,
1137,1,Jinja Municipality West HSD,AIDS Information Centre Jinja Special Clinic,SC,AIC,PNFP,HFQPLVXY8,SCCHYSD28/PAHIQFKA7/8007
1138,2,Jinja Municipality West HSD,Al-Shafa Medical Centre General Hospital,Hospital,UMMB,PNFP,HFKQBP9H9,SC3DI2OC4/PA6XN4BN5/8001
1139,3,Butembe HSD,Almeca Medicare General Hospital,Hospital,CBO,PNFP,HFBHC3W49,SC3EPXHG5/PAZ9N99M4/8002
1140,4,Butembe HSD,AOET Health Centre II,HC II,CBO,PNFP,HFZ4JD5G9,SCWFH9SC3/PAC339JZ5/8001
1141,5,Butembe HSD,Aroma  Health Centre III,HC III,CBO,PNFP,HF8BV6ZH4,SCWFH9SC3/PADMNFVZ8/8002
1142,6,Kiira HSD,Bubugo Health Centre II,HC II,MOH,Govt,HF9ZFHMO2,SC6KXZOS3/PAG3WZFD7/8001
1143,7,Kiira HSD,Budima Health Centre III,HC III,MOH,Govt,HFCJ9UDN5,SC6KXZOS3/PAO6HFKY8/8002
1144,8,Kiira HSD,Budondo Health Centre IV,HC IV,MOH,Govt,HFSQUMA59,SC46ZXS69/PAOGRB8A0/8001
1145,9,Butembe HSD,Bugembe Health Centre IV,HC IV,MOH,Govt,HF95X8L51,SCWFH9SC3/PADMNFVZ8/8001
1146,10,Kagoma HSD,Bunawona Health Centre II,HC II,MOH,Govt,HFMRXF6G0,SCX92M2K4/PA88TTSU9/8001
1147,11,Butembe HSD,Busede Health Centre III,HC III,MOH,Govt,HFC8FR6P9,SCUSCIDI8/PANCDRNE9/8001
1148,12,Kagoma HSD,Busegula Health Centre II,HC II,MOH,Govt,HF88ADMU4,SC8S7TTS9/PA6W6GCR4/8001
1149,13,Kiira HSD,Butagaya Health Centre III,HC III,MOH,Govt,HFNFY2OO8,SC6KXZOS3/PASQ2DA29/8001
1150,14,Butembe HSD,Buwenda (Jinja) Health Centre II,HC II,MOH,Govt,HFATDBIH4,SC3EPXHG5/PAT5JZ9N8/8001
1151,15,Kagoma HSD,Buwenge General Hospital,Hospital,MOH,Govt,HF2NLPLL5,SCLQ95S99/PAPGKZGK4/8005
1152,16,Kagoma HSD,Buwenge Health Centre IV,HC IV,MOH,Govt,HFU8NG4P8,SCX92M2K4/PARRXISW6/8001
1153,17,Kagoma HSD,Buwenge NGO General Hospital,Hospital,CAFU,PNFP,HFLOLDAE4,SCX92M2K4/PARRXISW6/8002
1154,18,Kagoma HSD,Buwolero Health Centre II,HC II,MOH,Govt,HFD5DU2U3,SCLQ95S99/PALHBTBE4/8001
1155,19,Kagoma HSD,Bwase Health Centre II,HC II,MOH,Govt,HFATZK276,SCX92M2K4/PAS2SO769/8001
1156,20,Butembe HSD,Bwidhabwangu Health Centre II,HC II,CBO,PNFP,HFJDSX5P7,SCUSCIDI8/PAJKEMVA4/8002
1157,21,Jinja Municipality West HSD,Crescent Medical Centre Health Centre III,HC III,CBO,PNFP,HFGVN9SW6,SC3DI2OC4/PAZBYUYH4/8005
1158,22,Jinja Municipality West HSD,DACE Medical Clinic Clinic,Clinic,Private,PFP,HFESUIRQ1,SCCHYSD28/PAHIQFKA7/8006
1159,23,Butembe HSD,Dr. Keneko Faith Clinic,Clinic,CBO,PNFP,HFBJAB5A9,SCWFH9SC3/PAHTKUX97/8001
1160,24,Jinja Municipality West HSD,Family Hope Center Jinja Special Clinic,SC,CAFU,PNFP,HF2J6IWH9,SCCHYSD28/PAHIQFKA7/8005
1161,25,Jinja Municipality West HSD,Gaddafi Barracks Health Centre III,HC III,UPDF,Govt,HFAI64CT6,SC3DI2OC4/PAQHDCQ39/8004
1162,26,Kiira HSD,Ivunamba Health Centre II,HC II,MOH,Govt,HF44SK6Z2,SC46ZXS69/PAJOTSVN5/8002
1163,27,Kagoma HSD,Iwololo Health Centre II,HC II,CBO,PNFP,HFV3B2TB5,SC6KXZOS3/PAWGDPET6/8001
1164,28,Jinja Municipality West HSD,Jinja (Uganda Red Cross Offices - Jinja) Blood,BCDP,UBTS,Govt,HF5WM3CH5,SC3DI2OC4/PAZBYUYH4/8004
,,,Collection & Distribution Point,,,,,
1165,29,Kagoma HSD,Jinja All Saints Kagoma Health Centre III,HC III,UPMB,PNFP,HFSX7LVH3,SCLQ95S99/PAPGKZGK4/8004
1166,30,Jinja Municipality East HSD,Jinja Central Health Centre III,HC III,MOH,Govt,HFFL7EUY7,SCI9DJ4V7/PAHLFTAW1/8001
1167,31,Jinja Municipality West HSD,Jinja International Medical Clinic,Clinic,CBO,PNFP,HFYHCO9L6,SCCHYSD28/PAHIQFKA7/8004
1168,32,Jinja Municipality West HSD,Jinja Islamic Health Centre III,HC III,UMMB,PNFP,HF3TYQXE9,SC3DI2OC4/PAU9YZ828/8001
1169,33,Jinja Municipality East HSD,Jinja Main Prison Health Centre III,HC III,UPS,Govt,HF79PZ4A5,SCI9DJ4V7/PATIOJWY0/8002
1170,34,Jinja Municipality West HSD,Jinja Medcare Clinic,Clinic,Private,PFP,HFRVHXR33,SCCHYSD28/PAHIQFKA7/8003
1171,35,Jinja Municipality West HSD,Jinja Police Health Centre III,HC III,UPF,Govt,HFSX4C5T8,SC3DI2OC4/PAQHDCQ39/8003
1172,36,Jinja Municipality West HSD,Jinja Regional Referral Hospital,RRH,MOH,Govt,HFRZZI486,SC3DI2OC4/PAZBYUYH4/8003
1173,37,Jinja Municipality East HSD,Jinja Remand Prison Health Centre III,HC III,UPS,Govt,HFMUDCVT6,SCI9DJ4V7/PATIOJWY0/8001
1174,38,Kagoma HSD,Kabaganda Health Centre II,HC II,MOH,Govt,HFRO6GRE2,SCLQ95S99/PAPGKZGK4/8003
1175,39,Butembe HSD,Kabembe Health Centre II,HC II,MOH,Govt,HFI4NECO6,SCBBFHXV5/PAGP5VF69/8003
1176,40,Kagoma HSD,Kakaire Health Centre III,HC III,MOH,Govt,HF2ID4KR0,SC8S7TTS9/PAF734SB8/8002
1177,41,Butembe HSD,Kakira Health Centre III,HC III,MOH,Govt,HFE9RTOL1,SCBBFHXV5/PAGP5VF69/8001
1178,42,Butembe HSD,Kakira Sugar General Hospital,Hospital,CBO,PNFP,HF8FZL2R2,SCBBFHXV5/PAGP5VF69/8002
1179,43,Kagoma HSD,Kamigo Health Centre II,HC II,MOH,Govt,HFHAO2LA1,SC8S7TTS9/PAF734SB8/8001
1180,44,Kiira HSD,Kibibi Health Centre II,HC II,MOH,Govt,HFR872641,SC46ZXS69/PACI99FT0/8001
1181,45,Jinja Municipality West HSD,Kimaka Health Centre II,HC II,MOH,Govt,HFYISYOT4,SC3DI2OC4/PABOY78N4/8002
1182,46,Butembe HSD,Kisaasi Health Centre II,HC II,MOH,Govt,HF7BGEBW8,SCUSCIDI8/PAH54B2I5/8001
1183,47,Jinja Municipality East HSD,Kisiima Islands Health Centre II,HC II,MOH,Govt,HF9CLLWB2,SCI9DJ4V7/PAPH6V3Y2/8004
1184,48,Kagoma HSD,Kitanaba Health Centre II,HC II,MOH,Govt,HF2BQ8XL5,SCLQ95S99/PAFNAASQ4/8002
1185,49,Kiira HSD,Kyomya Health Centre II,HC II,MOH,Govt,HFBFV8GC2,SC46ZXS69/PAC2ZPYS8/8001
1186,50,Kiira HSD,Lukolo Health Centre III,HC III,MOH,Govt,HFAU29784,SC46ZXS69/PAJO78W83/8002
1187,51,Kiira HSD,Lumuli Health Centre II,HC II,MOH,Govt,HFDXWFKV5,SC6KXZOS3/PAO6HFKY8/8001
1188,52,Jinja Municipality West HSD,Lwanda Health Centre II,HC II,MOH,Govt,HFYGWERW1,SC3EPXHG5/PAA57ZL62/8002
1189,53,Jinja Municipality West HSD,Mafubira Health Centre II,HC II,MOH,Govt,HFV8AGTZ6,SC3EPXHG5/PAZ9N99M4/8001
1190,54,Kagoma HSD,Magamaga Health Centre III,HC III,MOH,Govt,HFADLWHR4,SCLQ95S99/PAX9DB5K8/8001
1191,55,Jinja Municipality West HSD,Mariestopes Uganda Jinja Clinic,Clinic,NGO,PNFP,HFH2BNWK8,SCR7MKP38/PA2HTGIO6/8001
1192,56,Jinja Municipality East HSD,Masese Danida Health Centre II,HC II,CBO,PNFP,HFM2KJEN3,SCI9DJ4V7/PAPH6V3Y2/8003
1193,57,Jinja Municipality East HSD,Masese III Health Centre II,HC II,MOH,Govt,HFACNPFO6,SCI9DJ4V7/PAPH6V3Y2/8002
1194,58,Jinja Municipality East HSD,Masese Port Health Centre II,HC II,MOH,Govt,HF6SEF289,SCI9DJ4V7/PAPH6V3Y2/8001
1195,59,Kagoma HSD,Mawoito Health Centre II,HC II,MOH,Govt,HF37EVXJ3,SCLQ95S99/PAEDSAGU0/8001
1196,60,Jinja Municipality West HSD,Mobashar Medical Center Clinic,Clinic,UMMB,PNFP,HFKABZN44,SCCHYSD28/PAHIQFKA7/8002
1197,61,Butembe HSD,Mpambwa Health Centre III,HC III,MOH,Govt,HFEWLXY64,SCUSCIDI8/PAEVU7UE6/8001
1198,62,Jinja Municipality West HSD,Mpumudde Health Centre IV,HC IV,MOH,Govt,HFKUBKFI6,SC3DI2OC4/PAQHDCQ39/8002
1199,63,Kagoma HSD,Mpungwe Health Centre II,HC II,MOH,Govt,HFS4AXFF4,SCLQ95S99/PAFNAASQ4/8001
1200,64,Kagoma HSD,Muguluka Flep Health Centre II,HC II,MOH,Govt,HFEAHCWD6,SCLQ95S99/PAPGKZGK4/8002
1201,65,Butembe HSD,Musima Health Centre II,HC II,MOH,Govt,HFCH7LPV5,SC3EPXHG5/PAEL69TT7/8002
1202,66,Kagoma HSD,Mutai Health Centre II,HC II,MOH,Govt,HFOMT3GL9,SCLQ95S99/PAPGKZGK4/8001
1203,67,Jinja Municipality West HSD,Muwumba Health Centre III,HC III,MOH,Govt,HFTMJ3EB8,SC3DI2OC4/PAJSEWRK3/8001
1204,68,Butembe HSD,Nabitambala Health Centre II,HC II,MOH,Govt,HFTEJFQR1,SCUSCIDI8/PAJKEMVA4/8001
1205,69,Butembe HSD,Nalinaibi Health Centre II,HC II,MOH,Govt,HFRJCL3K9,SCUSCIDI8/PAWVXE736/8001
1206,70,Kiira HSD,Namwendwa Health Centre II,HC II,MOH,Govt,HFRR2MC62,SC6KXZOS3/PANOF6R50/8001
1207,71,Kagoma HSD,Nawampandha Health Centre II,HC II,CBO,PNFP,HF7LKDOK1,SC6KXZOS3/PAVEAD693/8001
1208,72,Kiira HSD,Nawangoma Health Centre II,HC II,MOH,Govt,HF55D4E23,SC46ZXS69/PAJO78W83/8001
1209,73,Kagoma HSD,Nsozibiri Health Centre II,HC II,MOH,Govt,HFGSODIB8,SC8S7TTS9/PAK7GTGU5/8001
1210,74,Jinja Municipality West HSD,Rapha Medical Centre Clinic,Clinic,Private,PFP,HFA67BD51,SC3DI2OC4/PAZBYUYH4/8002
1211,75,Jinja Municipality West HSD,Ripon Medical Centre Clinic,Clinic,Private,PFP,HFZ9FTEG3,SCCHYSD28/PAHIQFKA7/8001
1212,76,Jinja Municipality West HSD,Senior Command Staff College Health Centre II,HC II,UPDF,Govt,HFZ9Y2XG1,SC3DI2OC4/PAQHDCQ39/8001
1213,77,Kiira HSD,Soft power Clinic,Clinic,CBO,PNFP,HFUFKZLA3,SC46ZXS69/PAJOTSVN5/8001
1214,78,Butembe HSD,St Benedictâ€™s Health Centre III,HC III,UEC,PNFP,HFI6W9P32,SC3EPXHG5/PAEL69TT7/8001
,,,,,(UCMB),,,
1215,79,Jinja Municipality West HSD,St. Camillus Health Centre III,HC III,UEC,PNFP,HFPHKCSS1,SC3DI2OC4/PABOY78N4/8001
,,,,,(UCMB),,,
1216,80,Butembe HSD,St. Joseph (Namulesa) Health Centre II,HC II,Private,PFP,HF2ZNR7W9,SC3EPXHG5/PAA57ZL62/8001
1217,81,Jinja Municipality West HSD,TASO Jinja Clinic Special Clinic,SC,TASO,PNFP,HFW583I37,SC3DI2OC4/PAZBYUYH4/8001
1218,82,Butembe HSD,Wairaka Health Centre II,HC II,MOH,Govt,HFLS8FRV2,SCBBFHXV5/PA9WJ63S0/8001
1219,83,Jinja Municipality West HSD,Wakitaka Health Centre III,HC III,MOH,Govt,HFH7XZHI8,SC3EPXHG5/PAPO36DR5/8001
1220,84,Jinja Municipality East HSD,Walukuba  Health Centre IV,HC IV,MOH,Govt,HF4QKRHU5,SCI9DJ4V7/PAGSF2WH8/8001
1221,85,Kiira HSD,Wansimba Health Centre II,HC II,MOH,Govt,HF7NOFJB3,SC6KXZOS3/PABOCMR31/8001
1222,1,Dodoth East HSD,Kaabong  General Hospital,Hospital,MOH,Govt,HFYU8HE97,SCK2UBHO3/PAS89MH87/8001
1223,2,Dodoth East HSD,Kaabong Mission Health Centre III,HC III,UEC (UCMB),PNFP,HFHEU3B86,SCK2UBHO3/PAQ3EC2Q7/8001
1224,3,Dodoth East HSD,Kaimese Health Centre III,HC III,MOH,Govt,HFFRQ8SL7,SCND8VWY4/PA42LJLA5/8001
1225,4,Dodoth East HSD,Kakamar Health Centre II,HC II,MOH,Govt,HFY8KKIX3,SCVG44TN1/PAV2NJK92/8001
1226,5,Dodoth East HSD,Kalapata Health Centre III,HC III,MOH,Govt,HFN4GT5J0,SCIXJOSF6/PA3876RL2/8001
1227,6,Dodoth West HSD,Kalimon Health Centre II,HC II,MOH,Govt,HFAZZ3R78,SCYYA9K74/PAY4JYXR1/8001
1228,7,Dodoth East HSD,Kamacharikol Health Centre II,HC II,MOH,Govt,HFDORV9A1,SCIYT5U62/PARA59X39/8001
1229,8,Dodoth East HSD,Kamion Health Centre II,HC II,MOH,Govt,HFTHRVFR0,SCAVH88E8/PAWXWSMO6/8001
1230,9,Dodoth West HSD,Kapedo Health Centre III,HC III,MOH,Govt,HFIPKYCS9,SCIXOG6T9/PALKE2ZT0/8002
1231,10,Dodoth West HSD,Karenga Health Centre IV,HC IV,MOH,Govt,HFUFP8L57,SCMD3SEQ0/PA35MQX24/8001
1232,11,Dodoth East HSD,Kathile Health Centre III,HC III,MOH,Govt,HF5DCLMC5,SCIYT5U62/PA4BSOA57/8001
1233,12,Dodoth West HSD,Kidepo Health Centre II,HC II,UPMB,PNFP,HFK2RVHD4,SCMD3SEQ0/PAFGTWR88/8001
1234,13,Dodoth West HSD,Kocholo Health Centre II,HC II,MOH,Govt,HFKZY79E0,SCQ79CF51/PAHLFKP35/8001
1235,14,Dodoth East HSD,Kopoth Health Centre III,HC III,MOH,Govt,HF6MIDWY3,SCWQGHKN4/PA3TG7OD5/8001
1236,15,Dodoth West HSD,Lobalangit Health Centre III,HC III,MOH,Govt,HFIW5VKZ0,SCEKFBNP2/PA7YAYRX2/8001
1237,16,Dodoth East HSD,Lochom Health Centre II,HC II,MOH,Govt,HFKHUJ8E5,SCWQGHKN4/PADIHX3R7/8001
1238,17,Dodoth East HSD,Lodiko Health Centre II,HC II,MOH,Govt,HFWFLZ9O6,SCAM3RMA6/PAP83MZ98/8001
1239,18,Dodoth East HSD,Lokanayona Health Centre II,HC II,MOH,Govt,HFONOLIB9,SCJTZRYO2/PAYRBP5M1/8001
1240,19,Dodoth East HSD,Lokerui Health Centre II,HC II,MOH,Govt,HFJMM73R9,SC8LE6BE3/PAA3KHJF4/8001
1241,20,Dodoth East HSD,Lokolia Health Centre III,HC III,MOH,Govt,HFL3559X0,SCJZRP2T7/PAQG887N4/8001
1242,21,Dodoth West HSD,Lokori Health Centre II,HC II,MOH,Govt,HFOUAN9T4,SC4IU6AN1/PA39BFA88/8001
1243,22,Dodoth East HSD,Lokwakaramoe Health Centre II,HC II,MOH,Govt,HFMV67LH4,SCAVH88E8/PAZ2CFEO1/8001
1244,23,Dodoth East HSD,Lomeris Health Centre II,HC II,MOH,Govt,HFW8656Y9,SC8LE6BE3/PAFXZITT4/8001
1245,24,Dodoth East HSD,Lomodoch Health Centre II,HC II,MOH,Govt,HFZH44UC9,SCND8VWY4/PAEJZO9V3/8001
1246,25,Dodoth East HSD,Lotim Health Centre II,HC II,UPMB,PNFP,HFE5U3Z59,SCS5QPTD5/PASFEECW3/8001
1247,26,Dodoth East HSD,Loyoro Health Centre III,HC III,MOH,Govt,HFQDTE330,SCJTZRYO2/PAG3SNTT6/8001
1248,27,Dodoth East HSD,Morukori Health Centre II,HC II,MOH,Govt,HFWPN9XW6,SCS5QPTD5/PA8HEDGM7/8001
1249,28,Dodoth East HSD,Morulem Health Centre II,HC II,MOH,Govt,HFHOYM9Q9,SCIXJOSF6/PAKS3E2F7/8001
1250,29,Dodoth East HSD,Narengepak Health Centre II,HC II,MOH,Govt,HF3TLSWB3,SCIYT5U62/PAOHMPB64/8001
1251,30,Dodoth West HSD,Pire Health Centre II,HC II,MOH,Govt,HFERMLRN9,SCEKFBNP2/PA8X7Q6S2/8001
1252,31,Dodoth West HSD,St. Jude Kapedo Health Centre II,HC II,UEC (UCMB),PNFP,HFQWZ83P7,SCIXOG6T9/PALKE2ZT0/8001
1253,32,Dodoth East HSD,Timu Health Centre II,HC II,MOH,Govt,HFPOSO4Z9,SCAVH88E8/PAAYDAQ22/8001
1254,33,Dodoth East HSD,Usake Health Centre II,HC II,MOH,Govt,HFQAWCUX7,SCAVH88E8/PA73RWFT6/8001
1255,1,Rukiga North HSD,Bucundura Health Centre II,HC II,MOH,Govt,HFHXZCXK8,SCVGBQ3U3/PAU5CACO9/8002
1256,2,Ndorwa East HSD,Buhara Health Centre III,HC III,MOH,Govt,HFOGRY4J4,SCP6XIMY5/PAGMEHNF5/8002
1257,3,Ndorwa East HSD,Buhara NGO Health Centre III,HC III,NGO,PNFP,HFJC3TNW3,SCP6XIMY5/PAGMEHNF5/8001
1258,4,Rukiga North HSD,Bukinda Health Centre IV,HC IV,MOH,Govt,HF7XS4LZ4,SCIH3OCY5/PADGO5OX9/8002
1259,5,Ndorwa West HSD,Buramba Health Centre II,HC II,MOH,Govt,HF7WUQHO3,SCUNM2U90/PACGP2TA9/8001
1260,6,Ndorwa East HSD,Burambira Health Centre II,HC II,MOH,Govt,HFFHCIAB0,SCDPWHSJ0/PA78X9F51/8001
1261,7,Ndorwa West HSD,Butanda Health Centre III,HC III,MOH,Govt,HFK9LFFD4,SCZ7EJS94/PAAKKQAZ3/8003
1262,8,Ndorwa West HSD,Bwama Health Centre III,HC III,MOH,Govt,HF9RR4465,SC3PPQP79/PATXJWGV6/8001
1263,9,Rukiga South  HSD,Clinic Africa Muhanga Health Centre II,HC II,NGO,PNFP,HF9C4SAD6,SCIH3OCY5/PAE5IZ9M4/8002
1264,10,Ndorwa West HSD,Habubale Health Centre II,HC II,MOH,Govt,HFLQ7QML8,SCZ7EJS94/PAAKKQAZ3/8002
1265,11,Rukiga North HSD,Ibugwe Health Centre II,HC II,MOH,Govt,HFDLRDUO4,SCARRIV39/PAI8EA330/8002
1266,12,Rukiga North HSD,Ibumba Health Centre II,HC II,MOH,Govt,HFT4RVYK6,SCARRIV39/PAI8EA330/8001
1267,13,Kabale Municipality HSD,Kabale (Uganda Red Cross office - Kabale),BCDP,UBTS,Govt,HFYVYEF54,SCKEG76F5/PA9ETTH72/8003
,,,Blood Collection & Distribution Point,,,,,
1268,14,Kabale Municipality HSD,Kabale AIDS iInformation Centre Special Clinic,SC,AIC,PNFP,HFEI94UA5,SCGXH7O92/PAT8T7BH6/8002
1269,15,Kabale Municipality HSD,Kabale Regional Referral Hospital,RRH,MOH,Govt,HFMS37ZK3,SCKEG76F5/PA9ETTH72/8002
1270,16,Ndorwa West HSD,Kabindi Health Centre II,HC II,MOH,Govt,HFS5RC225,SC3PPQP79/PAOD8RDS7/8001
1271,17,Ndorwa East HSD,Kafunjo (Kabale) Health Centre II,HC II,MOH,Govt,HFMPJJ7C4,SCP6XIMY5/PAEXL4UC6/8001
1272,18,Rukiga North HSD,Kafunjo Nyakarambi Health Centre II,HC II,MOH,Govt,HF9QXVO66,SCVGBQ3U3/PAUM6HP97/8001
1273,19,Rukiga North HSD,Kahama Health Centre II,HC II,MOH,Govt,HFB6M2KI1,SCVGBQ3U3/PAVR5TFJ0/8001
1274,20,Ndorwa East HSD,Kahando Health Centre II,HC II,MOH,Govt,HFTYHAKI8,SCG7OPPI2/PA5OQLS78/8002
1275,21,Ndorwa East HSD,Kaharo Health Centre III,HC III,MOH,Govt,HF2HHFOG0,SCDPWHSJ0/PA9QEXXI5/8001
1276,22,Ndorwa West HSD,Kahugye Health Centre II,HC II,MOH,Govt,HFHMBTDN0,SCZ7EJS94/PAVZMJ696/8002
1277,23,Ndorwa East HSD,Kajobe Health Centre II,HC II,MOH,Govt,HFROSDC32,SCJPZBDG8/PAPKLZZC5/8001
1278,24,Rukiga South HSD,Kakatunda Health Centre III,HC III,NGO,PNFP,HFER3PXF0,SCK9JPBW4/PAAAGZGN3/8001
1279,25,Ndorwa West HSD,Kakomo Health Centre III,HC III,MOH,Govt,HF5V35YB0,SC3PPQP79/PA6VF5YJ1/8001
1280,26,Ndorwa West HSD,Kamuganguzi Health Centre III,HC III,MOH,Govt,HFG2MA777,SC8CAAZV9/PAXZKXKU6/8001
1281,27,Kabale Municipality HSD,Kamukira Health Centre IV,HC IV,MOH,Govt,HFMQNSTA9,SCGXH7O92/PAT8T7BH6/8001
1282,28,Rukiga South HSD,Kamwezi Health Centre IV,HC IV,MOH,Govt,HFXB5GRR7,SC52XT4U7/PAE83DKV0/8001
1283,29,Rukiga South  HSD,KAMWEZI PARISH Health Centre II,HC II,UEC,PNFP,HFHXGRB90,SC52XT4U7/PAWM3ZY66/8001
,,,,,(UCMB),,,
1284,30,Rukiga South HSD,Kandago Health Centre II,HC II,MOH,Govt,HFX5BE6W4,SCK9JPBW4/PAOAVH462/8001
1285,31,Rukiga South HSD,Karorwa Health Centre II,HC II,MOH,Govt,HFESP75X7,SCK9JPBW4/PAOPVFIS2/8001
1286,32,Ndorwa West HSD,Karujanga Health Centre II,HC II,MOH,Govt,HFDN229W6,SCUNM2U90/PAYUOKDJ4/8001
1287,33,Ndorwa East HSD,Karweru Health Centre II,HC II,MOH,Govt,HFJ8UMAD0,SCG7OPPI2/PANIFL853/8001
1288,34,Rukiga North HSD,Kashambya (Kabale) Health Centre III,HC III,MOH,Govt,HFOAD8WI1,SCVGBQ3U3/PANS3VNJ1/8001
1289,35,Ndorwa West HSD,Kasheregyenyi Health Centre II,HC II,MOH,Govt,HF36CU5B2,SCRGJY2L0/PAUTEBM95/8001
1290,36,Ndorwa West HSD,Katenga Health Centre II,HC II,MOH,Govt,HFYRNOR42,SCRGJY2L0/PA94GSEU6/8001
1291,37,Ndorwa East HSD,Kavu Health Centre II,HC II,MOH,Govt,HFWZS8LE5,SCG7OPPI2/PAZ25Z2N0/8001
1292,38,Kabale Municipality HSD,KDA Staff Clinic Health Centre II,HC II,MOH,Govt,HFVRCPON4,SCKEG76F5/PA9ETTH72/8001
1293,39,Rukiga South HSD,Kibanda Health Centre II,HC II,MOH,Govt,HFADJWW27,SC52XT4U7/PAL58SSM9/8001
1294,40,Ndorwa West HSD,Kicumbi Health Centre II,HC II,MOH,Govt,HFBQOT2O0,SCRGJY2L0/PA7368YE4/8001
1295,41,Ndorwa East HSD,Kigarama Health Centre II,HC II,MOH,Govt,HFKHKY7D3,SCG7OPPI2/PA292PMF9/8002
1296,42,Ndorwa East HSD,Kigata Health Centre II,HC II,MOH,Govt,HFWMVQXF7,SCJPZBDG8/PATZVGFG1/8001
1297,43,Rukiga North HSD,Kihanga Health Centre III,HC III,NGO,PNFP,HFG8S7AL8,SCARRIV39/PAVXVOFA9/8002
1298,44,Ndorwa West HSD,Kijurera Health Centre II,HC II,MOH,Govt,HFOFIGSS4,SC3PPQP79/PAFFZCBH9/8001
1299,45,Ndorwa West HSD,Kinyamari Health Centre II,HC II,NGO,PNFP,HFZX4XNZ1,SCZ7EJS94/PAAKKQAZ3/8001
1300,46,Ndorwa West HSD,Kisasa Health Centre II,HC II,MOH,Govt,HFJ4UQSJ1,SCRGJY2L0/PA4UX4QA6/8001
1301,47,Rukiga North HSD,Kitanga Health Centre II,HC II,MOH,Govt,HFB6NRC45,SCARRIV39/PA7UT9LG9/8001
1302,48,Rukiga North HSD,Kitanga NGO Health Centre II,HC II,NGO,PNFP,HFRURRQP0,SCVGBQ3U3/PAIB2QAY2/8001
